State,Region,Disease,PestHits,Incidence,Prevalence,Type
Wisconsin,Midwest,Parkinson Disease,60,45.7286623275231,177.236206023257,Insecticide
Wyoming,West,Alzheimer's Disease,44,173.551599018126,1229.19619872237,Insecticide
Wyoming,West,Brain Neoplasms,41,8.39136403059217,23.4168901435979,Insecticide
Wyoming,West,Epilepsy,42,40.1073021983102,351.858148809389,Insecticide
Wyoming,West,Migraine Disorders,37,1147.05425668036,16758.9145653839,Insecticide
Wyoming,West,Multiple Sclerosis,44,4.59476158326081,176.010704967762,Insecticide
Wyoming,West,Parkinson Disease,44,43.1262841847604,154.988867761039,Insecticide
Alabama,Southeast,Alzheimer's Disease,76,183.651297284712,1389.06505723321,Herbicide
Alabama,Southeast,Brain Neoplasms,61,9.38198424611772,20.9380427789625,Herbicide
Alabama,Southeast,Epilepsy,70,40.7511751864933,376.835570863209,Herbicide
Alabama,Southeast,Migraine Disorders,48,1159.09119640296,17325.9989212514,Herbicide
Alabama,Southeast,Multiple Sclerosis,70,2.56894680439416,103.561954426802,Herbicide
Alabama,Southeast,Parkinson Disease,77,45.1086880861181,157.216033851898,Herbicide
Arizona,Southwest,Alzheimer's Disease,63,191.041043990159,1383.15767569293,Herbicide
Arizona,Southwest,Brain Neoplasms,52,8.05596016235632,23.5375854233831,Herbicide
Arizona,Southwest,Epilepsy,57,37.3417064329218,338.500015979158,Herbicide
Arizona,Southwest,Migraine Disorders,37,1178.73122179909,17188.7009800903,Herbicide
Arizona,Southwest,Multiple Sclerosis,57,3.10164204097261,118.899274501885,Herbicide
Arizona,Southwest,Parkinson Disease,64,49.0379557829478,188.740329348325,Herbicide
Arkansas,Southeast,Alzheimer's Disease,78,192.93033068765,1406.33386592482,Herbicide
Arkansas,Southeast,Brain Neoplasms,63,9.19819077173685,21.4221052729797,Herbicide
Arkansas,Southeast,Epilepsy,72,37.162467278242,331.712286808432,Herbicide
Arkansas,Southeast,Migraine Disorders,49,1161.93446427052,17037.0581138555,Herbicide
Arkansas,Southeast,Multiple Sclerosis,72,2.50431759472485,95.4348689899128,Herbicide
Arkansas,Southeast,Parkinson Disease,79,39.7051937086139,135.336189632865,Herbicide
California,West,Alzheimer's Disease,78,170.890843957619,1209.88363516809,Herbicide
California,West,Brain Neoplasms,65,7.803850909094,25.9252721594367,Herbicide
California,West,Epilepsy,72,37.3300058336087,321.690441999979,Herbicide
California,West,Migraine Disorders,50,1196.96396696966,17606.1321220999,Herbicide
California,West,Multiple Sclerosis,71,2.60084290609488,92.2794762860933,Herbicide
California,West,Parkinson Disease,79,42.6570787640437,176.147353196413,Herbicide
Colorado,West,Alzheimer's Disease,70,178.108974484281,1289.53791677092,Herbicide
Colorado,West,Brain Neoplasms,56,8.39923138338914,26.2968252733812,Herbicide
Colorado,West,Epilepsy,64,38.1715344634101,336.635099356869,Herbicide
Colorado,West,Migraine Disorders,41,1183.70871149194,17482.7816140691,Herbicide
Colorado,West,Multiple Sclerosis,65,4.43331667508891,170.290931995203,Herbicide
Colorado,West,Parkinson Disease,70,45.6667030769096,179.914550146534,Herbicide
Connecticut,Northeast,Alzheimer's Disease,50,242.579338794861,1808.95144112275,Herbicide
Connecticut,Northeast,Brain Neoplasms,40,9.66163574529406,32.5281770201037,Herbicide
Connecticut,Northeast,Epilepsy,46,39.0505582164343,364.972025372728,Herbicide
Connecticut,Northeast,Migraine Disorders,32,1129.27264964717,17434.3597731972,Herbicide
