Type,Disease,Year,variable,value
Genes,Parkinson Disease,2011,Prevalence p_pe,0.0078634571708111
Genes,Alzheimer's Disease,2012,Prevalence p_pe,0.145392058208963
Genes,Multiple Sclerosis,2012,Prevalence p_pe,1.11785429163097e-07
Genes,Parkinson Disease,2012,Prevalence p_pe,0.00653564689089009
Genes,Alzheimer's Disease,2013,Prevalence p_pe,0.122532533744208
Genes,Multiple Sclerosis,2013,Prevalence p_pe,8.60267902307358e-08
Genes,Parkinson Disease,2013,Prevalence p_pe,0.00445084960953007
Genes,Alzheimer's Disease,2014,Prevalence p_pe,0.102302667967716
Genes,Multiple Sclerosis,2014,Prevalence p_pe,1.0082653188828e-07
Genes,Parkinson Disease,2014,Prevalence p_pe,0.00296262609545726
Genes,Alzheimer's Disease,2015,Prevalence p_pe,0.0836006437073561
Genes,Multiple Sclerosis,2015,Prevalence p_pe,1.17160427780482e-07
Genes,Parkinson Disease,2015,Prevalence p_pe,0.00199535292896417
Genes,Alzheimer's Disease,2016,Prevalence p_pe,0.0666823607427384
Genes,Multiple Sclerosis,2016,Prevalence p_pe,1.33667618589426e-07
Genes,Parkinson Disease,2016,Prevalence p_pe,0.00130889089822566
Genes,Alzheimer's Disease,2017,Prevalence p_pe,0.0524965216184826
Genes,Multiple Sclerosis,2017,Prevalence p_pe,1.50426870553874e-07
Genes,Parkinson Disease,2017,Prevalence p_pe,0.000807926225556295
Genes,Alzheimer's Disease,2018,Prevalence p_pe,0.0424040716030807
Genes,Multiple Sclerosis,2018,Prevalence p_pe,1.41922100873222e-07
Genes,Parkinson Disease,2018,Prevalence p_pe,0.000461356643252104
Genes,Alzheimer's Disease,1992,Incidence RMSE,27.802910695551
Genes,Multiple Sclerosis,1992,Incidence RMSE,0.645418706825816
Genes,Parkinson Disease,1992,Incidence RMSE,1.97341169101602
Genes,Alzheimer's Disease,1993,Incidence RMSE,27.9455263919728
Genes,Multiple Sclerosis,1993,Incidence RMSE,0.61537404719859
Genes,Parkinson Disease,1993,Incidence RMSE,1.99702361055392
Genes,Alzheimer's Disease,1994,Incidence RMSE,27.9438076740603
Genes,Multiple Sclerosis,1994,Incidence RMSE,0.579104794646718
Genes,Parkinson Disease,1994,Incidence RMSE,1.98676094692415
Genes,Alzheimer's Disease,1995,Incidence RMSE,28.3131008742207
Genes,Multiple Sclerosis,1995,Incidence RMSE,0.611421609015023
Genes,Parkinson Disease,1995,Incidence RMSE,2.01747228972161
Genes,Alzheimer's Disease,1996,Incidence RMSE,28.8173961850869
Genes,Multiple Sclerosis,1996,Incidence RMSE,0.600295851548356
Genes,Parkinson Disease,1996,Incidence RMSE,2.05216828768483
Genes,Alzheimer's Disease,1998,Incidence RMSE,30.1932516546383
Genes,Multiple Sclerosis,1998,Incidence RMSE,0.580376771380111
Genes,Parkinson Disease,1998,Incidence RMSE,2.1461041063181
Genes,Alzheimer's Disease,1997,Incidence RMSE,29.4647453185994
Genes,Multiple Sclerosis,1997,Incidence RMSE,0.592261377678893
Genes,Parkinson Disease,1997,Incidence RMSE,2.10145084986973
Genes,Alzheimer's Disease,1999,Incidence RMSE,30.7558198729172
Genes,Multiple Sclerosis,1999,Incidence RMSE,0.582651274362864
Genes,Parkinson Disease,1999,Incidence RMSE,2.19265518653274
Genes,Alzheimer's Disease,2000,Incidence RMSE,31.1057597517454
