State,Region,Disease,KG_Pest,Incidence,Prevalence
New Mexico,Southwest,Brain Neoplasms,21492937.3,7.68747160396426,22.5028894389215
New Mexico,Southwest,Epilepsy,22821983.8,42.7228565939195,363.440430860146
New Mexico,Southwest,Migraine Disorders,16274294.45,1158.08543271433,17005.581679644
New Mexico,Southwest,Multiple Sclerosis,23043256.45,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,23166995.7,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,82292858.25,225.444833621701,1670.76188227628
New York,Northeast,Brain Neoplasms,78919344.9,7.62609517501325,23.2328864325017
New York,Northeast,Epilepsy,81298666.55,43.5086086525538,408.835774152943
New York,Northeast,Migraine Disorders,73523335.05,1149.86863165371,17601.1249224125
New York,Northeast,Multiple Sclerosis,81833975.45,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,82207979,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,191549295.6,181.133259107328,1318.74113841672
North Carolina,Southeast,Brain Neoplasms,185174905.4,8.30914076835556,21.758032721612
North Carolina,Southeast,Epilepsy,187081483.35,36.3416834303401,314.960768662457
North Carolina,Southeast,Migraine Disorders,114043992.15,1174.98022018846,17476.7083803161
North Carolina,Southeast,Multiple Sclerosis,187732264,3.02481156645244,120.444627612992
North Carolina,Southeast,Parkinson Disease,191316157.45,45.3186915842446,167.277627621189
North Dakota,Midwest,Alzheimer's Disease,265459432.05,243.98553993377,1831.89797416004
North Dakota,Midwest,Brain Neoplasms,252084935.3,9.69006094560804,28.8700675727676
North Dakota,Midwest,Epilepsy,262698617.9,38.3140257002469,330.865396055788
North Dakota,Midwest,Migraine Disorders,201822552.65,1132.63440152179,16678.2597780845
North Dakota,Midwest,Multiple Sclerosis,264748055.95,4.14230958394942,148.997646106916
North Dakota,Midwest,Parkinson Disease,265227679.35,46.3377523014818,185.345475043528
Ohio,Midwest,Alzheimer's Disease,222850440.8,232.944539848321,1765.74700710752
Ohio,Midwest,Brain Neoplasms,214181169.7,9.09452039295945,22.8372600481125
Ohio,Midwest,Epilepsy,218605566,42.3518743968742,398.856195918577
Ohio,Midwest,Migraine Disorders,192278186.6,1137.96396529759,17111.5747379893
Ohio,Midwest,Multiple Sclerosis,221807459,3.61073632441671,144.657987137699
Ohio,Midwest,Parkinson Disease,222628538.5,52.5493762590309,203.814039972354
Oklahoma,Southwest,Alzheimer's Disease,98089413.2,198.019126217243,1465.00391026505
Oklahoma,Southwest,Brain Neoplasms,93363034.5,8.41896119578026,20.6624320339167
Oklahoma,Southwest,Epilepsy,97451420.65,40.0577826435665,359.530501808576
Oklahoma,Southwest,Migraine Disorders,58267712.85,1176.96200881504,17035.632687883
Oklahoma,Southwest,Multiple Sclerosis,97302768.65,2.6316694725895,94.7401526740191
Oklahoma,Southwest,Parkinson Disease,98131967.65,45.1695065135932,160.98991485369
Oregon,West,Alzheimer's Disease,64102840.7,205.851029637481,1503.89968167694
Oregon,West,Brain Neoplasms,57809577.5,9.88024179003331,29.371961217356
Oregon,West,Epilepsy,62301780.85,36.1066296428649,316.013527009973
Oregon,West,Migraine Disorders,41830211.5,1133.35431162333,17273.1252617715
Oregon,West,Multiple Sclerosis,63636104.6,3.98668055570305,156.093882689611
Oregon,West,Parkinson Disease,64123706.85,50.1947393596782,186.984991126826
Pennsylvania,Northeast,Alzheimer's Disease,84113062.65,244.557059730533,1811.55327706982
Pennsylvania,Northeast,Brain Neoplasms,81341970.75,9.18607152263854,24.6896807701945
Pennsylvania,Northeast,Epilepsy,83112190.25,40.7125319827659,388.793604381985
Pennsylvania,Northeast,Migraine Disorders,75166667.25,1117.389425494,17174.9795189646
Pennsylvania,Northeast,Multiple Sclerosis,83531817.15,3.82373111962932,160.069154132544
Pennsylvania,Northeast,Parkinson Disease,84052201.1,54.8118599605218,220.332992807956
Rhode Island,Northeast,Alzheimer's Disease,374691.7,255.475970846781,1935.31252831537
Rhode Island,Northeast,Brain Neoplasms,359309.8,9.34390471869128,27.1289909029092
Rhode Island,Northeast,Epilepsy,358008.4,42.5170264833088,415.538918364719
Rhode Island,Northeast,Migraine Disorders,327272.8,1137.3882046368,17631.3482992026
Rhode Island,Northeast,Multiple Sclerosis,370817.75,4.72786610036684,194.324215924951
Rhode Island,Northeast,Parkinson Disease,374697.2,48.4082674370117,191.861127302062
South Carolina,Southeast,Alzheimer's Disease,68487008.05,189.565708062693,1382.19257849726
South Carolina,Southeast,Brain Neoplasms,66267190.15,8.73615041003546,20.6866172904784
South Carolina,Southeast,Epilepsy,67221578.35,38.2008665938663,344.068926592577
South Carolina,Southeast,Migraine Disorders,47988030.35,1150.78814758099,17284.7658018775
South Carolina,Southeast,Multiple Sclerosis,67506424.65,2.75116321058522,110.759654020835
South Carolina,Southeast,Parkinson Disease,68369504.45,46.8225636489553,167.30486066352
South Dakota,Midwest,Alzheimer's Disease,237620148.45,195.473008341809,1372.57852137616
South Dakota,Midwest,Brain Neoplasms,222605836.5,10.0122967630153,28.9296126737972
South Dakota,Midwest,Epilepsy,235570303.35,41.8410924450787,380.214653817099
South Dakota,Midwest,Migraine Disorders,197347818.25,1142.23850695376,16478.6541377528
South Dakota,Midwest,Multiple Sclerosis,236834813.2,3.9021813727345,147.803429144902
South Dakota,Midwest,Parkinson Disease,237216075.15,41.7436666163086,167.813601381659
Tennessee,Southeast,Alzheimer's Disease,106433250.85,195.099507502469,1453.85438183995
Tennessee,Southeast,Brain Neoplasms,101472107.75,8.94602965008836,21.82396653317
Tennessee,Southeast,Epilepsy,104403321.05,38.7152442997388,350.189383667798
Tennessee,Southeast,Migraine Disorders,81444792.1,1162.83205061202,17374.2131248891
Tennessee,Southeast,Multiple Sclerosis,104809162.6,2.89071157709392,115.19718362145
Tennessee,Southeast,Parkinson Disease,105996583.15,44.5346294747352,160.546537812451
Texas,Southwest,Alzheimer's Disease,440240213.7,164.678279180272,1237.189887684
Texas,Southwest,Brain Neoplasms,425793747.95,7.32401431298066,21.4114186911242
Texas,Southwest,Epilepsy,436713522.5,37.073241893278,343.893513002163
Texas,Southwest,Migraine Disorders,335105676.7,1238.70225650034,17448.9655046486
Texas,Southwest,Multiple Sclerosis,435555999.75,2.4198645723701,86.4050293947688
Texas,Southwest,Parkinson Disease,438857202.4,39.9441937092265,155.616632513869
Utah,West,Alzheimer's Disease,13482800.35,100.01967729575,709.387167355901
Utah,West,Brain Neoplasms,11467471.45,6.91502624739812,21.3396873204992
Utah,West,Epilepsy,12984515.4,35.9829750443652,288.433247842865
Utah,West,Migraine Disorders,8918164.85,1311.67151783465,17131.3216079828
Utah,West,Multiple Sclerosis,13321543.1,5.35515895682654,168.19507999845
Utah,West,Parkinson Disease,13504303.95,31.6411409125155,115.854495857215
Vermont,Northeast,Alzheimer's Disease,3883785,229.170088152368,1649.0958061531
Vermont,Northeast,Brain Neoplasms,3798610.6,9.60533245968774,27.1793228967089
Vermont,Northeast,Epilepsy,3839380.6,36.0463669055615,323.011999477197
Vermont,Northeast,Migraine Disorders,3474968.6,1082.05480781595,17134.7571221261
